iter	Passed	Remaining
1572	8295	33895
1573	8300	33888
1574	8305	33880
1575	8310	33875
1576	8315	33868
1577	8320	33862
1578	8325	33856
1579	8330	33850
1580	8336	33845
1581	8341	33839
1582	8346	33833
1583	8350	33825
1584	8356	33820
1585	8361	33814
1586	8366	33808
1587	8371	33801
1588	8376	33796
1589	8381	33789
1590	8386	33782
1591	8391	33778
1592	8396	33771
1593	8401	33764
1594	8406	33759
1595	8412	33753
1596	8416	33746
1597	8422	33740
1598	8427	33735
1599	8432	33729
1600	8436	33721
1601	8442	33716
1602	8447	33709
1603	8452	33703
1604	8457	33698
1605	8462	33691
1606	8467	33684
1607	8472	33678
1608	8477	33672
1609	8482	33665
1610	8487	33660
1611	8492	33653
1612	8497	33646
1613	8502	33641
1614	8507	33635
1615	8512	33628
1616	8517	33621
1617	8522	33616
1618	8527	33609
1619	8532	33603
1620	8537	33597
1621	8542	33590
1622	8547	33583
1623	8552	33578
1624	8557	33572
1625	8562	33565
1626	8567	33559
1627	8572	33553
1628	8577	33547
1629	8582	33540
1630	8587	33534
1631	8592	33527
1632	8597	33521
1633	8602	33515
1634	8607	33509
1635	8613	33504
1636	8618	33499
1637	8623	33492
1638	8627	33485
1639	8633	33479
1640	8637	33472
1641	8642	33464
1642	8647	33456
1643	8652	33451
1644	8656	33443
1645	8661	33435
1646	8666	33429
1647	8671	33422
1648	8676	33414
1649	8681	33411
1650	8686	33403
1651	8691	33396
1652	8695	33388
1653	8701	33386
1654	8706	33379
1655	8711	33371
1656	8716	33368
1657	8721	33361
1658	8726	33354
1659	8732	33352
1660	8737	33346
1661	8742	33338
1662	8747	33333
1663	8752	33326
1664	8757	33319
1665	8762	33312
1666	8767	33306
1667	8771	33299
1668	8776	33291
1669	8782	33289
1670	8787	33281
1671	8791	33273
